PLATFORM_NUMBER,EDMO_CODE
13352,1051
13354,1051
13355,1051
13356,1051
13857,1799
13858,1799
13859,1799
13862,1051
13863,1051
13864,1051
13865,1051
13866,1051
13867,1051
15819,1799
15820,1799
15851,1799
15852,1799
15853,1799
15854,1799
15855,1799
19000,1051
19001,1051
19002,1051
19003,1051
19004,1051
19005,1051
19006,1051
19007,1051
19018,3839
19019,3839
19020,3839
19021,3839
21850,1537
21851,1537
21852,1537
21853,1051
21856,3839
21858,3839
21859,1051
21860,1051
21861,3839
21862,1051
21863,3839
21864,3839
21865,1051
21866,1051
21867,3839
21868,3839
21869,1051
21870,3839
21871,1051
21872,3839
21874,3839
21875,1051
21876,1051
21877,3839
21878,3839
21880,1051
21881,3839
21882,1051
21883,1051
21884,1051
21885,1051
21886,1051
21887,1051
21888,3839
21900,1537
29000,1537
29001,1051
29002,1537
29003,1537
29004,1537
29005,1537
29006,1537
29007,1051
29008,1537
29009,1537
29010,1537
29011,1537
29012,1537
29013,1537
29014,1537
29015,3577
29016,3577
29018,3577
29019,3577
29020,3577
29021,3577
29022,3577
29025,1537
29026,1537
29027,1537
29028,1537
29029,1537
29030,1537
29031,1537
29032,1537
29033,1537
29034,1537
29035,1537
29036,1537
29037,1537
29038,1537
29039,1537
29040,1537
29041,1537
29042,1537
29043,1537
29044,1537
29045,1537
29046,1537
29047,1537
29048,1537
29049,1537
29050,1537
29051,1537
29052,1537
29053,1537
29054,1537
29073,1537
29074,1537
29075,1537
29076,1537
29077,1537
29078,1537
31351,1051
31352,1051
31353,1051
31354,1051
31810,1799
31855,1799
31856,1799
31857,1799
31858,1799
31859,1799
32631,1051
32632,1051
32634,1051
32636,1051
39000,1051
39001,3839
39002,1051
39004,1051
39005,1051
39007,1799
39008,1799
39009,1799
39010,1799
39011,1799
39012,1799
39013,1799
39014,1799
39015,1799
39016,1799
39017,1799
39018,1799
39029,3839
39030,3839
39031,3839
39032,3839
39033,3839
39034,3839
39035,3839
39037,3839
39038,3839
39039,3839
39040,3839
39041,3839
39042,3839
39043,3839
39044,3839
39045,3839
39046,3839
39047,1390
39048,1390
39049,1390
39050,1390
39051,1390
39052,1390
39053,1390
39054,1390
39055,1390
41857,3839
41858,3839
41859,1051
41860,1051
41861,1051
41863,3839
41864,3839
41865,3839
41866,3839
41867,3839
41868,3839
41869,3839
41870,3839
41871,3839
41872,3839
41873,3839
41874,3839
41875,3839
41876,3839
41877,3839
41878,3839
41879,3839
41880,3839
41881,3839
41882,3839
41883,3839
41884,3839
41885,3839
41886,3839
41887,3839
41888,3839
41889,3839
41890,3839
41891,3839
41892,3839
41893,3839
41894,3839
41895,3839
41896,3839
41897,3839
41898,3839
41899,3839
41900,3839
41951,3839
41952,3839
41953,3839
42545,1799
42547,1799
44744,1051
44745,1051
44746,1051
44747,1051
44749,1051
44750,1051
44861,1051
44862,1051
44870,3839
44871,3839
44872,3839
44873,3839
44874,3839
44875,3839
44974,1051
44976,1051
46851,1979
46852,1979
49000,1979
49001,1051
49002,1051
49003,1051
49004,1051
49005,1051
49006,1051
49007,1051
49008,1051
49009,1051
49010,1051
49011,1051
49012,1051
49013,1051
49014,1051
49015,1051
49016,1051
49017,1051
49018,1051
49019,1051
49020,1051
49021,1051
49022,1051
