WOD_LABEL,C17
ABBOT,SDN:C17::31O9
ACT 4 (Cont.s;c.s.GOVL;built 1971;ren-d MELBOURNE STAR c.s.C6JY6 1992;IMO7108162,SDN:C17::74AQ
ADDIRIYAH,SDN:C17::SADD
AEGAEO (R/V;call sign SXYY;built 12.1985;ex.AEGAIO 10.1994;IMO8412429),SDN:C17::36AE
AKADEMIK A. KOVALEVSKIY (R/V; call sign UEWJ; built 1949; IMO6850366),SDN:C17::90AK
AKADEMIK ALEKSANDR VINOGRADOV (R/V;c.s.UYEV;new c.s.UABE;built 1983;IMO7826312),SDN:C17::90BN
AKADEMIK MSTISLAV KELDYSH (R/V; call sign UFJI; built 12.1980; IMO7811018),SDN:C17::RUBP
AKADEMIK SERGEY VAVILOV (R/V;c.s.UAUO;old c.s.UKOC;built 1988;IMO8507729),SDN:C17::RUSG
AKADEMIK SHOKALSKIY (R/V;c.s.UUPB;built 10.1982;new c.s.UBNF;IMO8010336)a,SDN:C17::90BQ
AKADEMIK VERNADSKIY (Call sign ULYN; built 1968;renamed Gloriya 2001;IMO6726929),SDN:C17::90VE
AKRITAS (C.s.VRCJ7;b.1987;ex.Cap Akritas 05.2010;IMO8703397),SDN:C17::HKAA
AL AMIR MOULAY ABDALLAH (R/V;built 2001;length 38.5;IMO9242510)\0,SDN:C17::56J8
ALBANY,SDN:C17::313Z
ALBATROS,SDN:C17::35A7
ALBATROSS IV (NOAA ship; call sign WMVF; built 1962; IMO7338690),SDN:C17::31A4
ALDEBARAN,SDN:C17::92AU
ALLAGASH,SDN:C17::32A5
ALMEIDA CARVALHO (A527; R/V; built 1969; active 1972-2001),SDN:C17::68CA
AMALTHEE (Call sign THLX; active 1939-1975; Naval vessel),SDN:C17::35AT
AMERICA,SDN:C17::3114
AMERIGO (Seaglider;WMO6800166;alt.name SG554;operated by OGS),SDN:C17::48JV
AMMEN,SDN:C17::31N2
AMMONITE (AUV;Slocum glider #038;WMO 68983;operated by UK MARS facility)a,SDN:C17::74IH
ANDRIJA MOHOROVICIC (YTDW),SDN:C17::95AM
ANDROMEDA (A5203; call sign CTHK; built 1985; Instituto Hidrografico),SDN:C17::68AN
ANGELES ALVARINO (R/V;call sign EASE;built 2012;IMO9524645),SDN:C17::29AJ
ANNABELLA (ELCP4),SDN:C17::54A2
ANNAPOLIS,SDN:C17::31QV
ANTON DOHRN II (R/V;c.s. DBFR;active 10/17/1972-07/30/1986;ex.Walther Herwig I),SDN:C17::06DA
ANTRIM,SDN:C17::321G
ARCO JUNEAU,SDN:C17::32JU
ARGUS (R/V; call sign ESRL; built 1969;new c.s.UEZY;IMO7044548),SDN:C17::64AS
ARIEL,SDN:C17::90AE
ASSURANCE,SDN:C17::31ZA
ATAKAPA,SDN:C17::315G
ATLANTIS (1931 - 9/1963)a,SDN:C17::33AT
ATLANTIS II (4/1963 - 3/2/1997),SDN:C17::31AN
AUBREY FITCH (FFG-34),SDN:C17::327V
AURIGA (A5205; call sign CTHL; built 1987; Instituto Hidrografico),SDN:C17::68AU
AYLWIN,SDN:C17::319A
AYTODOR,SDN:C17::90AY
BACHE,SDN:C17::31BA
BADGER,SDN:C17::31DQ
BAGLEY,SDN:C17::32BA
BANNOCK (Call sign IKOD; built 06.1943; IMO6401438),SDN:C17::48B1
BARBEY,SDN:C17::32BB
BARNEY,SDN:C17::31B7
BARTLETT,SDN:C17::314U
BARTON,SDN:C17::31BT
BASILONE,SDN:C17::31IO
BEATTY,SDN:C17::31YY
BEAUTEMPS-BEAUPRE (A758; call sign FABB; built 2001),SDN:C17::35B5
BELKNAP,SDN:C17::311N
BELLAMITE (AUV;Slocum glider #051;b.2006;WMO 68972;oper.by UK MARS facility),SDN:C17::74L3
BENHAM,SDN:C17::313X
BENNER,SDN:C17::31N3
BIBI (VSBI3),SDN:C17::74B9
BIDDLE,SDN:C17::31QD
BILIM (R/V;c.s.TAAB;built 1983;renamed Bilim-2 2005;c.s.TCBU3;IMO7729667),SDN:C17::89BL
BLAKELY,SDN:C17::316X
BLANDY,SDN:C17::31YD
BOLD (USS;424;service date 09/25/1953 - 07/02/1971),SDN:C17::31B5
BONPLAND (AUV;Slocum glider #142;owned by LOCEAN),SDN:C17::35ZB
BORDA (A792;call sign FYCT;built 1988),SDN:C17::35B8
BORDELON,SDN:C17::31J7
BORHA (Offshore structure; active 1964-1970),SDN:C17::35BO
BORHA II (Offshore structure; call sign FZGD; active 1973-1977),SDN:C17::35BA
BORIE,SDN:C17::31XR
BOWDITCH,SDN:C17::31BO
BREMEN EXPRESS (Cont.ship;c.s.DGZL;b.2008;IMO9343728),SDN:C17::065U
BRISCOE,SDN:C17::32ZM
BRISTOL,SDN:C17::31RL
BROADSWORD,SDN:C17::74B1
BROWN,SDN:C17::31N9
BROWNSON,SDN:C17::31BR
BRUMBY,SDN:C17::31XU
BULWARK,SDN:C17::31B2
CALLAGHAN,SDN:C17::32FJ
CAMPE (AUV;Slocum glider;#176;b.2009;Length 2.15;owned by the IFREMER),SDN:C17::35ZP
CANISTEO,SDN:C17::31CT
CAP CANAILLE (call sign FQRQ),SDN:C17::35C2
CAPERTON,SDN:C17::32CP
CAPODANNO,SDN:C17::32C9
CAPRICE,SDN:C17::74CA
CAPRICORNE,SDN:C17::35CI
CARON,SDN:C17::32W4
CARRON,SDN:C17::74C1
CARYSFORT,SDN:C17::74CF
CATHERINE LAURENCE,SDN:C17::35CL
CAVENDISH,SDN:C17::74CC
CHAIN,SDN:C17::31CI
CHALLENGER (sold April 2000 and re-flagged as EXPLORER),SDN:C17::74CH
CHAPLET,SDN:C17::74C2
CHARITY,SDN:C17::74CI
CHARLES DARWIN (R/V;c.s.GDLS;built 1984;ren-d Ocean Researcher 2006;IMO8207941),SDN:C17::74AB
CHARLES H. GILBERT,SDN:C17::31CG
CHARLOTTETOWN (HMCS;FFH339;call sign CGAJ; commissioned 09.1995),SDN:C17::18C8
CHELEKEN,SDN:C17::90BH
CHEVIOT,SDN:C17::74C3
CHEVRON,SDN:C17::74CG
CHICAGO EXPRESS (Cont.ship;c.s.DCUJ2;built 2006;IMO9295268)\0,SDN:C17::060Q
CHICHESTER,SDN:C17::74CJ
CHIKASKIA,SDN:C17::31QA
CHUKAWAN,SDN:C17::31UK
CIROLANA,SDN:C17::74CZ
CITY OF DUBLIN (SVCQ),SDN:C17::36CD
CLARK (USS),SDN:C17::32NW
CLIFTON SPRAGUE,SDN:C17::32QD
CLIONE,SDN:C17::74CN
CMA CGM AMBER (Cont.ship;call sign 2BHA6;built 2008;IMO9350381),SDN:C17::74XO
CMA CGM CHARCOT (Cont.ship; call sign A8HE4; built 2002; IMO9232773),SDN:C17::54CR
CMA CGM CORAL (Cont.ship;call sign 2BLO7;built 2008;IMO9350393)\0,SDN:C17::74NE
CMA CGM FLORIDA (Cont.ship;call sign 2AKU3;built 2008;IMO9348704),SDN:C17::746M
CMA CGM GEORGIA (Cont.ship;call sign 2ARK9;built 2008;IMO9351127),SDN:C17::748K
CMA CGM MOLIERE (Cont.s.;call sign 9HA2072;built 2009;IMO9401099),SDN:C17::MLVT
