INSTRUMENT_KEY,L22
ANIMAL MOUNTED: Satellite Relay Data Logger (SRDL) (SMRU Instrumentation),SDN:L22::TOOL2125
ANIMAL MOUNTED: TDR (Time-Depth Recorder) Tag (Wildlife Computers),SDN:L22::TOOL2126
BOTTLE: Generic glass reversing thermometers (protected/unprotected),SDN:L22::TOOL0238
CTD: AIST (Russia),SDN:L22::TOOL0001
CTD: AML Micro CTD (Applied Microsystems Limited),SDN:L22::TOOL0434
CTD: AML STD-12 (aka AML CTD-12),SDN:L22::TOOL0041
CTD: APPLIED MICROSYSTEMS 12 PLUS,SDN:L22::TOOL0433
"CTD: BISSETT-BERMAN, MODEL UNKNOWN",SDN:L22::TOOL0001
CTD: CASTAWAY-CTD (SonTek/YSI Inc.),SDN:L22::TOOL1926
CTD: CHELSEA INSTRUMENTS AQUALINK,SDN:L22::TOOL0001
"CTD: Combination: ECO FLNTU (Sea-Bird Electronics, Inc.)",SDN:L22::TOOL0215
"CTD: Combination: ECO-Triplet-BB2FL-Backscatter Backscatter and Chlorophyll-a (Sea-Bird Electronics, Inc.)",SDN:L22::TOOL0673
CTD: CTD 90M - Multiparameter Memory Probe (Sea & Sun Technology GmbH/LTD),SDN:L22::TOOL0001
CTD: EG&G MARK III (EG&G Ocean products),SDN:L22::TOOL0001
"CTD: FSI CTD (Falmouth Scientific, Inc.)",SDN:L22::TOOL0001
"CTD: FSI ICTD Profiler (Falmouth Scientific, Inc.)",SDN:L22::TOOL0364
"CTD: FSI Micro CTD (Falmouth Scientific, Inc)",SDN:L22::TOOL1266
"CTD: Glider Payload CTD - GPCTD (Sea-Bird Electronics, Inc.)",SDN:L22::TOOL1026
CTD: GUILDLINE 8701 MODIFIED,SDN:L22::TOOL0001
"CTD: GUILDLINE 8737 ""WOCE"" (WOCE-specifications)",SDN:L22::TOOL0001
CTD: GUILDLINE 8737 WOCE (WOCE-specifications),SDN:L22::TOOL0001
CTD: GUILDLINE MARK IV,SDN:L22::TOOL0001
CTD: Guildline model 8400 Autosal,SDN:L22::TOOL0454
CTD: Guildline model 8410 Portasal,SDN:L22::TOOL0242
"CTD: GUILDLINE, MODEL UNKNOWN",SDN:L22::TOOL0001
CTD: HYDRO PRODUCTS 612/912S,SDN:L22::TOOL0001
CTD: Hydrolab Surveyor 3,SDN:L22::TOOL0001
CTD: HYDROPOLYTESTER/NEPHELOMETER ZULLIG,SDN:L22::TOOL0451
CTD: HYDROZOND,SDN:L22::TOOL0001
"CTD: ISTOK-3 (MHI, Ukraine)",SDN:L22::TOOL0001
CTD: ISTOK-4 (Russia),SDN:L22::TOOL0001
"CTD: ISTOK-5 (MHI, Ukraine)",SDN:L22::TOOL0001
"CTD: ISTOK-7 (MHI, Ukraine)",SDN:L22::TOOL0001
CTD: JASUS (by M. Du Chaffaut and T. Labadie),SDN:L22::TOOL0001
"CTD: KATRAN-4S (Shirshov IO, Russia)",SDN:L22::TOOL0001
CTD: KROSSBIM STD ROSETTES,SDN:L22::TOOL0001
CTD: MEERESTECHNIK ELEKTRONIK,SDN:L22::TOOL0438
CTD: MEERESTECHNIK OTS-1200,SDN:L22::TOOL0149
"CTD: MODIFIED NEIL BROWN, PACODF CTD-O2",SDN:L22::TOOL0001
CTD: NEIL BROWN DRCM,SDN:L22::TOOL0001
CTD: NEIL BROWN MARK II,SDN:L22::TOOL0144
CTD: NEIL BROWN MARK III,SDN:L22::TOOL0002
CTD: NEIL BROWN MARK IIIB,SDN:L22::TOOL0002
CTD: NEIL BROWN MARK V,SDN:L22::TOOL0431
