"EDMO record id","Name","Native name", "Abbreviation", "Address", "Address 2", "Zipcode", "City", "State", "Country", "Email", "Phone", "Fax", "Website", "URL", "Latitude", "Longitude"
"1478","Institute for Agricultural and Fisheries Research, Animal Sciences Unit, Fisheries","Instituut voor Landbouw- en Visserijonderzoek, Eenheid Dier - Visserij","ILVO","Ankerstraat 1"," ","8400","Oostende"," ","Belgium","DierVI@ilvo.vlaanderen.be","+32 59 34 22 50","+32 59 33 06 29","http://www.ilvo.vlaanderen.be/","https://edmo.seadatanet.org/report/1478","51.2336","2.93944"
"1480","FPS Economy, Belgian Continental Shelf","FOD Economie/SPF �conomie, Dienst Continentaal Plat/Service Plateau Continental"," ","Boulevard du Roi Albert II, 16"," ","B-1000","Brussels"," ","Belgium","philippe.degavre@mineco.fgov.be","+32 (0)2 277 72 53","+32 (0)2 277 54 13"," ","https://edmo.seadatanet.org/report/1480","50.8622","4.35861"
"1510","Belgian Science Policy Office","Politique scientifique f�d�rale/Federaal Wetenschapsbeleid","Belspo","Avenue Louise/Louizalaan, 231"," ","B-1050","Brussels"," ","Belgium","www@belspo.be","+32 (0)2 238 34 11","+32 (0)2 230 59 12","http://www.belspo.be/belspo/home/port_en.stm","https://edmo.seadatanet.org/report/1510","50.8578","4.37083"
"1578","Royal Belgian Institute of Natural Sciences, Management Unit of North Sea and Scheldt Estuary Mathematical Models, Belgian Marine Data Centre","Unit� de Gestion du Mod�le Math�matique de la mer du Nord et de l'estuaire de l'Escaut, Centre de donn�es de Marine belge / Beheerseenheid van het Mathematisch Model van de Noordzee en het Schelde-estuarium, Belgisch Marien Datacentrum","MUMM-BMDC","Gulledelle 100"," ","1200","Brussels"," ","Belgium","bmdc@mumm.ac.be","+32 (0)2 773 2111","+32 (0)2 770 6972","http://www.bmdc.be","https://edmo.seadatanet.org/report/1578","50.8565","4.4259"
"2222","Agency for Maritime Services and Coast","Agentschap voor Maritieme Dienstverlening en Kust","AMDK","Graaf de FerrarisgebouwKoning Albert II-laan 20 bus 5"," ","1000","Brussels"," ","Belgium","maritiemedienstverlening.kust@vlaanderen.be","+32 (0)2 553 77 01","+32 (0)2 553 77 05","http://www.agentschapmdk.be","https://edmo.seadatanet.org/report/2222","50.86","4.357"
"2243","Flemish Ministry of Mobility and Public Works, Agency for Maritime and Coastal Services, Coastal Division","Vlaams Ministerie van Mobiliteit en Openbare Werken, Agentschap voor Maritieme Dienstverlening en Kust, Afdeling Kust  "," ","Administratief Centrum Vrijhavenstraat 3"," ","8400","Oostende"," ","Belgium","waterwegen_kust@mow.vlaanderen.be","+32-(0)59-55 42 11","+32-(0)59-50 70 37","https://www.afdelingkust.be/","https://edmo.seadatanet.org/report/2243","51.2261","2.9236"
"3091","Federaal Agentschap voor Nucleaire Controle","Federaal Agentschap voor Nucleaire Controle","FANC","36 Ravensteinstraat"," ","1000","Brussels"," ","Belgium"," ","+32 (0)2 289 21 11","+32 (0)2 289 21 12","https://fanc.fgov.be/nl","https://edmo.seadatanet.org/report/3091","50.8449","4.35943"
"3325","Royal Belgian Institute of Natural Sciences, Operational Directorate Natural Environment (Ostend)","Koninklijk Belgisch Instituut voor Natuurwetenschappen, Operationele Directie Natuurlijk Milieu (Oostende)","RBINS-ODNATURE-Ostend","3de en 23ste Linieregimentsplein"," ","8400","Oostende"," ","Belgium","odnature@naturalsciences.be","+32 59 24 20 50","+32 59 70 49 35","https://www.naturalsciences.be/en/science/do/98","https://edmo.seadatanet.org/report/3325","51.2244","2.925"
"3326","IHE, Management Unit of North Sea and Scheldt Estuary Mathematical Models (Ostend)","IHE, Beheerseenheid van het Mathematisch Model van de Noordzee en het Schelde-estuarium (Oostende)","IHE-MUMM-Ostend","3de en 23ste Linieregimentsplein"," ","8400","Oostende"," ","Belgium","inapplicable"," "," "," ","https://edmo.seadatanet.org/report/3326","51.2229","2.92372"
"3327","Royal Belgian Institute of Natural Sciences, Operational Directorate Natural Environment","Institut Royal des Sciences naturelles, Direction Op�rationnel de l'Environnement Naturel/Koninklijk Belgisch Instituut voor Natuurwetenschappen, Operationele Directie Natuurlijk Milieu","RBINS-ODNATURE-Gulledelle","Vautierstraat 29"," ","1000","Brussels"," ","Belgium"," "," "," ","http://www.naturalsciences.be/institute/structure/index_html#natural","https://edmo.seadatanet.org/report/3327","50.8367","4.3769"
