INSTRUMENT_KEY,L05,L22,L33
1,,SDN:L22::TOOL0435,
11,,SDN:L22::TOOL0262,
42,,SDN:L22::TOOL0263,
51,,SDN:L22::TOOL0715,
52,,SDN:L22::TOOL0715,
61,,SDN:L22::TOOL0718,
222,,,
231,,,
510,,SDN:L22::TOOL0713,
800,,SDN:L22::TOOL1287,
810,SDN:L05::30,,
820,SDN:L05::135,,
830,,SDN:L22::TOOL0001,
835,,SDN:L22::TOOL0001,
836,,SDN:L22::TOOL0001,
837,,SDN:L22::TOOL0001,
838,,SDN:L22::TOOL0001,
841,,SDN:L22::TOOL0001,
844,,SDN:L22::TOOL0001,
845,,SDN:L22::TOOL0001,
846,,SDN:L22::TOOL0001,
849,,SDN:L22::TOOL0001,
851,,SDN:L22::TOOL0001,
853,,SDN:L22::TOOL0001,
854,,SDN:L22::TOOL0001,
860,,SDN:L22::TOOL0001,
862,,SDN:L22::TOOL0001,
863,,SDN:L22::TOOL0001,
864,,SDN:L22::TOOL0001,
865,,SDN:L22::TOOL0001,
869,,SDN:L22::TOOL0001,
870,,SDN:L22::TOOL0001,
872,,SDN:L22::TOOL0001,
873,,SDN:L22::TOOL0001,
874,,SDN:L22::TOOL0001,
877,,SDN:L22::TOOL0001,
995,,,
999,,,
1025,,,
1202,,,
